Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,KD_diff,STR_diff,TD_diff,SUB_diff,target,Time_seconds,Fighter 1_code,Fighter 2_code,Weight_Class_code,Method_code
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Islam Makhachev,Alexander Volkanovski,1.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Kick,1.0,3:06,UFC 294,2023-10-21,Islam Makhachev,1.0,20.0,0.0,0.0,0,186,642,78,6,9
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Khamzat Chimaev,Kamaru Usman,0.0,0.0,38.0,36.0,4.0,0.0,1.0,0.0,Middleweight,M-DEC,3.0,5:00,UFC 294,2023-10-21,Khamzat Chimaev,0.0,2.0,4.0,1.0,0,300,931,1239,7,19
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Magomed Ankalaev,Johnny Walker,0.0,0.0,13.0,14.0,1.0,0.0,0.0,0.0,Light Heavyweight,CNC,1.0,3:13,UFC 294,2023-10-21,Magomed Ankalaev,0.0,-1.0,1.0,0.0,0,193,1014,1120,5,0
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ikram Aliskerov,Warlley Alves,1.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punches,1.0,2:07,UFC 294,2023-10-21,Ikram Aliskerov,1.0,14.0,0.0,0.0,0,127,630,2231,7,14
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Said Nurmagomedov,Muin Gafurov,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,Bantamweight,SUB Guillotine Choke,1.0,1:13,UFC 294,2023-10-21,Said Nurmagomedov,0.0,4.0,0.0,1.0,0,73,1427,1616,0,43
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Mokaev,Tim Elliott,0.0,0.0,14.0,30.0,3.0,1.0,1.0,2.0,Flyweight,SUB Arm Triangle,3.0,3:03,UFC 294,2023-10-21,Muhammad Mokaev,0.0,-16.0,2.0,-1.0,0,183,1187,2116,3,35
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Trevor Peek,Mohammad Yahya,0.0,0.0,61.0,43.0,4.0,1.0,0.0,1.0,Lightweight,U-DEC,3.0,5:00,UFC 294,2023-10-21,Trevor Peek,0.0,18.0,3.0,-1.0,0,300,1599,1607,6,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Javid Basharat,Victor Henry,0.0,0.0,30.0,25.0,1.0,0.0,0.0,0.0,Bantamweight,CNC,2.0,0:15,UFC 294,2023-10-21,Javid Basharat,0.0,5.0,1.0,0.0,0,15,715,2199,0,0
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Sedriques Dumas,Abu Azaitar,0.0,0.0,34.0,41.0,1.0,2.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC 294,2023-10-21,Sedriques Dumas,0.0,-7.0,-1.0,0.0,0,300,1458,12,7,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Mike Breeden,Anshul Jubli,1.0,0.0,92.0,103.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,3.0,3:00,UFC 294,2023-10-21,Mike Breeden,1.0,-11.0,0.0,0.0,0,180,1142,140,6,13
