Fighter,Date,Opp,Weight_Class,Total_KD,Total_STR,Total_TD,Total_SUB,Opp_KD,Opp_STR,Opp_TD,Opp_SUB,Round,Time,Target,Avg_Round_Time,Avg_Round,Opp_Avg_Round_Time,Opp_Avg_Round,Fighter_code,Opp_code,Weight_Class_code
Song Kenan,2021-03-20,Max Griffin,Welterweight,3,182,0,0,4,532,15,4,1.0,140.0,0,268.0,2.6,423.0,4.7272727272727275,2138,1589,10
Song Kenan,2023-03-04,Ian Garry,Welterweight,3,196,0,0,2,208,1,0,3.0,262.0,0,270.0,2.5,275.2,2.2,2138,898,10
Song Kenan,2023-08-26,Rolando Bedoya,Welterweight,4,251,2,0,0,149,0,0,3.0,300.0,1,306.2857142857143,3.0,600.0,6.0,2138,1960,10
Song Yadong,2017-11-25,Bharat Kandare,Featherweight,0,0,0,0,0,0,0,0,1.0,256.0,1,0.0,0.0,0.0,0.0,2139,234,2
Song Yadong,2018-06-23,Felipe Arantes,Bantamweight,1,8,0,1,1,334,9,7,2.0,299.0,1,256.0,1.0,421.1,4.2,2139,752,0
Song Yadong,2018-11-24,Vince Morales,Bantamweight,2,47,1,2,0,0,0,0,3.0,300.0,1,277.5,1.5,436.57142857142856,4.142857142857143,2139,2313,0
Song Yadong,2019-07-06,Alejandro Perez,Bantamweight,2,126,3,2,0,403,4,1,1.0,124.0,1,285.0,2.0,310.9166666666667,3.0,2139,47,0
Song Yadong,2019-12-07,Cody Stamann,Bantamweight,3,134,3,2,0,315,15,0,3.0,300.0,0,244.75,1.75,359.7,3.7,2139,461,0
Song Yadong,2020-05-16,Marlon Vera,Featherweight,3,164,3,2,5,473,7,13,3.0,300.0,1,315.8,2.6,326.4,3.8,2139,1543,2
Song Yadong,2021-03-06,Kyler Phillips,Bantamweight,3,265,3,2,0,121,4,1,3.0,300.0,0,313.1666666666667,2.6666666666666665,270.4,3.4,2139,1381,0
Song Yadong,2021-08-07,Casey Kenney,Bantamweight,3,332,3,2,0,458,6,2,3.0,300.0,1,354.14285714285717,3.142857142857143,369.0,3.5714285714285716,2139,357,0
Song Yadong,2021-11-13,Julio Arce,Bantamweight,3,448,3,2,1,308,3,3,2.0,95.0,1,347.375,3.125,363.625,4.0,2139,1249,0
Song Yadong,2022-03-12,Marlon Moraes,Bantamweight,4,478,3,2,5,281,5,2,1.0,126.0,1,319.3333333333333,3.0,318.9,3.1,2139,1542,0
Song Yadong,2022-09-17,Cory Sandhagen,Bantamweight,5,492,3,2,4,683,5,3,4.0,300.0,0,300.0,2.8,233.36363636363637,3.272727272727273,2139,479,0
Song Yadong,2023-04-29,Ricky Simon,Bantamweight,5,546,5,2,4,348,43,4,5.0,70.0,1,327.27272727272725,3.272727272727273,298.0,3.0,2139,1918,0
Spencer Fisher,2005-10-03,Thiago Alves,Welterweight,0,0,0,0,0,0,0,0,2.0,283.0,1,0.0,0.0,365.5,3.7083333333333335,2140,2200,10
Spencer Fisher,2006-01-16,Aaron Riley,Welterweight,0,13,1,3,0,55,0,1,1.0,300.0,1,283.0,2.0,392.0,3.857142857142857,2140,5,10
Spencer Fisher,2006-03-04,Sam Stout,Lightweight,0,38,1,3,0,0,0,0,3.0,300.0,0,291.5,1.5,338.57142857142856,3.7142857142857144,2140,2034,6
Spencer Fisher,2006-05-27,Matt Wiman,Lightweight,0,91,5,6,0,0,0,0,2.0,103.0,1,394.3333333333333,3.0,315.3333333333333,3.4,2140,1582,6
Spencer Fisher,2006-10-14,Dan Lauzon,Lightweight,1,118,5,6,0,0,0,0,1.0,278.0,1,321.5,2.75,485.0,4.0,2140,522,6
Spencer Fisher,2007-01-25,Hermes Franca,Lightweight,2,131,5,6,3,138,14,17,2.0,243.0,0,312.8,2.4,353.0,4.5,2140,882,6
Spencer Fisher,2007-06-12,Sam Stout,Lightweight,2,155,5,6,0,62,0,0,3.0,300.0,1,341.6666666666667,2.6666666666666665,336.0,3.6666666666666665,2140,2034,6
Spencer Fisher,2007-11-17,Frankie Edgar,Lightweight,2,243,5,6,0,86,8,0,3.0,300.0,0,335.7142857142857,2.7142857142857144,361.1923076923077,4.653846153846154,2140,781,6
Spencer Fisher,2008-06-21,Jeremy Stephens,Lightweight,2,249,5,6,1,87,3,0,3.0,300.0,1,368.75,3.125,358.0,3.8620689655172415,2140,1052,6
Spencer Fisher,2008-10-25,Shannon Gugerty,Lightweight,2,305,6,6,0,3,1,2,3.0,236.0,1,361.1111111111111,3.111111111111111,269.6666666666667,2.0,2140,2097,6
Spencer Fisher,2009-06-13,Caol Uno,Lightweight,3,335,6,8,0,208,15,2,3.0,300.0,1,348.6,3.1,346.0,4.375,2140,336,6
Spencer Fisher,2009-10-24,Joe Stevenson,Lightweight,3,397,7,8,1,227,24,17,2.0,243.0,0,344.1818181818182,3.090909090909091,387.7857142857143,3.642857142857143,2140,1120,6
Spencer Fisher,2010-06-19,Dennis Siver,Lightweight,3,411,7,8,4,179,4,2,3.0,300.0,0,356.0,3.1666666666666665,277.6842105263158,3.0526315789473686,2140,611,6
Spencer Fisher,2010-10-16,Curt Warburton,Lightweight,3,463,7,8,0,0,0,0,3.0,300.0,1,374.7692307692308,3.3846153846153846,268.0,2.5,2140,490,6
Spencer Fisher,2011-02-26,Ross Pearson,Lightweight,3,531,8,10,0,213,1,0,3.0,300.0,0,369.42857142857144,3.357142857142857,342.6521739130435,3.652173913043478,2140,1988,6
Spencer Fisher,2011-08-27,Thiago Tavares,Lightweight,3,569,9,10,0,199,26,13,2.0,171.0,0,384.8,3.533333333333333,276.5,2.8125,2140,2205,6
Spencer Fisher,2012-06-22,Sam Stout,Lightweight,3,572,9,10,3,665,2,1,3.0,300.0,0,382.125,3.5625,352.5,3.8125,2140,2034,6
Spike Carlyle,2020-02-29,Aalon Cruz,Featherweight,0,0,0,0,0,0,0,0,1.0,85.0,1,0.0,0.0,0.0,0.0,2141,2,2
Spike Carlyle,2020-05-30,Billy Quarantillo,Catch Weight,0,20,0,0,0,74,1,5,3.0,300.0,0,85.0,1.0,313.625,3.375,2141,240,1
Spike Carlyle,2020-11-28,Bill Algeo,Featherweight,0,57,3,0,0,89,1,0,3.0,300.0,0,342.5,3.5,418.3333333333333,4.333333333333333,2141,236,2
Stanislav Nedkov,2011-08-27,Luiz Cane,Light Heavyweight,0,0,0,0,6,188,1,0,1.0,253.0,1,0.0,0.0,262.42857142857144,2.2857142857142856,2142,1447,5
Stanislav Nedkov,2012-11-10,Thiago Silva,Light Heavyweight,1,29,0,0,2,217,5,3,3.0,105.0,0,253.0,1.0,347.7,2.8,2142,2204,5
Stanislav Nedkov,2013-02-16,Tom Watson,Middleweight,2,47,0,0,0,65,0,0,2.0,282.0,0,231.5,3.5,540.0,5.4,2142,2241,7
Stanislav Nedkov,2015-01-24,Nikita Krylov,Light Heavyweight,2,86,5,0,1,99,0,2,1.0,84.0,0,342.3333333333333,3.6666666666666665,288.6666666666667,2.7333333333333334,2142,1746,5
Stefan Sekulic,2018-09-15,Ramazan Emeev,Welterweight,0,0,0,0,0,77,4,0,3.0,300.0,0,0.0,0.0,386.2857142857143,3.7142857142857144,2143,1859,10
Stefan Sekulic,2021-04-24,Dwight Grant,Welterweight,0,22,1,0,2,113,1,0,3.0,300.0,0,600.0,6.0,432.8333333333333,3.6666666666666665,2143,675,10
Stefan Struve,2009-02-21,Junior Dos Santos,Heavyweight,0,0,0,0,1,7,0,0,1.0,54.0,0,0.0,0.0,261.3157894736842,3.5789473684210527,2144,1256,4
Stefan Struve,2009-06-13,Denis Stojnic,Heavyweight,0,0,0,0,0,7,0,1,2.0,157.0,1,108.0,2.0,308.0,4.0,2144,605,4
Stefan Struve,2009-10-24,Chase Gormley,Heavyweight,0,4,0,7,0,0,0,0,1.0,244.0,1,132.5,2.0,94.0,2.0,2144,385,4
Stefan Struve,2009-12-12,Paul Buentello,Heavyweight,0,16,1,10,2,92,1,2,3.0,300.0,1,169.66666666666666,1.6666666666666667,156.6,2.4,2144,1798,4
Stefan Struve,2010-03-31,Roy Nelson,Heavyweight,0,70,2,12,1,8,1,0,1.0,39.0,0,202.25,2.0,387.88235294117646,4.0588235294117645,2144,1993,4
Stefan Struve,2010-08-07,Christian Morecraft,Heavyweight,0,72,2,12,0,0,0,0,2.0,22.0,1,177.4,2.0,407.3333333333333,2.6666666666666665,2144,432,4
Stefan Struve,2010-12-11,Sean McCorkle,Heavyweight,1,83,2,14,0,0,0,2,1.0,235.0,1,151.5,2.0,281.5,2.5,2144,2060,4
